Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2017/1/31,6477,CT,New Haven,New Haven,Orange,7657,2154,-0.009199632,-0.028416779,-0.003239241,5098
2017/1/31,37404,TN,Chattanooga,Hamilton,Chattanooga,7658,906,0.002212389,0.02027027,-0.047318612,4830
2017/1/31,89410,NV,Gardnerville Ranchos,Douglas,Gardnerville,7659,1523,0.001314924,-0.010396361,0.094895758,3790
2017/1/31,93433,CA,San Luis Obispo,San Luis Obispo,Grover Beach,7660,2026,0.00695825,0.029471545,0.043254377,4212
2017/1/31,48836,MI,Detroit,Livingston,Fowlerville,7661,1412,0.00141844,0.011461318,0.037472447,4973
2017/1/31,63113,MO,St. Louis,Saint Louis City,Saint Louis,7662,809,-0.002466091,0.013784461,0.043870968,4957
2017/1/31,77587,TX,Houston,Harris,South Houston,7663,1229,-0.008870968,-0.011263073,0.009031199,3412
2017/1/31,1746,MA,Boston,Middlesex,Holliston,7664,2449,0.002045827,0.003688525,0.022546973,4903
2017/1/31,44667,OH,Wooster,Wayne,Orrville,7665,1100,-0.000908265,-0.004524887,-0.011680144,3870
2017/1/31,77445,TX,Houston,Waller,Hempstead,7666,1357,-0.008040936,-0.020216606,-0.005860806,3299
2017/1/31,43953,OH,Weirton,Jefferson,Wintersville,7667,806,-0.024213075,-0.035885167,0.078982597,4068
2017/1/31,37073,TN,Nashville,Robertson,Greenbrier,7668,1248,0.003215434,0.011345219,0.060322855,5919
2017/1/31,89460,NV,Gardnerville Ranchos,Douglas,Gardnerville,7669,1314,0.00152439,-0.004545455,0.066558442,4945
2017/1/31,12528,NY,Kingston,Ulster,Lloyd,7670,1661,0.014660965,0.023413432,0.043341709,4098
2017/1/31,75409,TX,Dallas-Fort Worth,Collin,Anna,7671,1526,-0.000654879,0.011265739,0.045205479,5082
2017/1/31,60471,IL,Chicago,Cook,Richton Park,7672,1480,-0.004037685,-0.010695187,0.008174387,4034
2017/1/31,51401,IA,,Carroll,Carroll,7673,1106,-0.019503546,-0.025550661,-0.016014235,3851
2017/1/31,25425,WV,Washington,Jefferson,Harpers Ferry,7674,1337,0.005263158,0.016730038,-0.015463918,7004
